-1	0	128		0	0	0		14
0	0	129		0	0	1		28
0	0	129		0	0	2		42
0	-1	128		1	1	0		55
0	0	129		2	0	1		70
0	-1	129		1	1	1		83
0	0	129		0	-1	1		97
0	0	129		-1	1	1		111
0	0	129		1	0	1		125
0	0	128		1	1	1		138
0	0	129		0	1	1		153
0	0	129		0	1	1		166
0	0	128		0	2	1		180
0	0	129		0	0	2		194
0	0	129		2	1	2		208
0	0	130		-1	1	1		221
0	0	129		-1	1	1		236
0	0	129		1	0	1		249
-1	0	129		1	1	0		263
0	0	129		2	-1	1		277
0	0	129		0	1	1		291
0	0	129		1	2	2		304
0	0	129		1	2	0		319
0	0	128		2	1	1		332
0	-1	129		1	0	0		358
0	0	129		0	1	2		373
0	-1	129		1	0	1		386
0	0	129		1	0	0		400
0	0	129		0	0	0		414
0	0	129		1	1	0		428
0	0	128		1	1	0		441
0	0	129		1	1	0		456
-1	0	129		1	2	1		469
0	0	128		1	1	1		483
0	0	129		0	2	2		497
0	0	129		1	1	1		511
0	-1	129		1	0	1		524
0	0	130		2	1	1		539
0	0	129		1	0	1		552
0	0	129		0	1	2		566
0	0	129		2	0	2		580
0	0	128		1	0	1		594
0	0	130		2	0	1		607
0	0	129		1	0	0		621
0	0	129		1	0	1		635
0	-1	129		1	1	0		648
0	0	130		1	-1	0		663
0	-1	129		1	0	0		677
0	0	130		-1	0	0		704
0	0	129		2	2	2		717
1	0	129		1	2	1		730
0	0	128		0	1	1		745
0	-1	129		2	0	0		758
0	0	129		2	1	0		772
0	0	129		1	0	1		785
0	0	128		1	0	1		800
1	-1	128		0	0	0		813
0	0	129		0	1	1		827
0	-1	129		0	0	1		841
0	-1	128		0	2	1		855
0	0	129		0	0	1		868
-1	-1	129		0	1	1		883
0	0	129		-1	1	0		896
0	0	129		1	-1	2		910
0	0	129		3	0	1		924
-8	3	129		4	0	43		938
-17	0	128		-7	0	154		952
-20	-10	126		-5	11	236		967
-4	-4	128		-15	2	138		980
-14	-1	129		9	7	75		994
-28	-5	127		35	2	87		1009
-23	-2	128		-23	-4	93		1035
-24	-1	127		-70	-8	67		1050
-23	1	125		-68	2	42		1063
-12	3	128		34	18	51		1077
-15	0	126		24	24	37		1092
-26	-3	129		58	32	-139		1106
-26	-2	129		26	6	-250		1119
-29	3	121		-18	2	-334		1134
30	-5	121		-9	7	-172		1148
-10	-31	138		270	108	457		1162
-16	-31	128		361	14	931		1177
-8	-15	132		-290	7	828		1191
-8	2	126		-395	-48	596		1205
-4	11	132		-11	21	266		1219
13	13	133		14	85	98		1233
11	14	129		177	182	-149		1247
-22	13	129		242	123	-128		1262
-22	4	131		45	24	-80		1288
-14	-1	130		-300	115	-130		1303
-18	2	127		-161	98	-237		1317
-32	2	131		-190	95	-259		1331
-30	-2	135		-253	87	-291		1346
-32	-1	132		-328	17	-418		1360
-35	3	135		-421	-53	-454		1374
-29	-1	124		-556	-180	-475		1389
-27	-4	125		-577	-207	-489		1403
-27	-12	132		-359	-207	-549		1417
-28	-12	137		-129	-231	-554		1432
-23	-9	142		106	-296	-555		1446
-22	-7	141		315	-420	-502		1460
-18	-4	132		338	-481	-481		1475
-18	-1	129		412	-492	-422		1489
-19	1	129		454	-427	-392		1503
-18	1	123		440	-203	-322		1530
-19	4	136		402	66	-295		1544
-18	4	144		210	105	-281		1559
-12	-2	144		171	53	-303		1573
-12	-3	141		212	-30	-381		1587
-19	2	133		320	-63	-417		1602
-23	5	130		315	-55	-414		1615
-23	3	126		194	6	-376		1629
-21	-2	131		139	70	-365		1644
-16	-3	130		81	174	-381		1658
-11	5	124		74	283	-369		1672
-10	8	128		45	386	-329		1687
-12	9	136		-132	471	-307		1701
-12	7	134		-182	466	-284		1714
-12	5	136		143	407	-268		1729
-15	3	137		343	372	-281		1743
-18	7	139		331	336	-350		1771
-17	11	135		65	302	-339		1785
-16	5	130		-28	264	-278		1798
-17	5	128		27	236	-267		1813
-19	7	134		102	222	-261		1827
-17	6	134		78	212	-227		1841
-15	6	132		21	193	-191		1856
-11	6	135		36	208	-102		1870
